ID,出典,単語・熟語,正解,誤答1,誤答2,誤答3,引用例文・和訳,解説・誤答分析,,,,,,,,,,,,,,,,,
76,2020-1,charged with,～の容疑をかけられる,～に満足している,～に責任がある,～を奪われる,"""Frank was **charged with** the robbery by the police."" （フランクは警察に強盗の容疑をかけられました。）",【正解】告発される、請求される、充電される、と多義語。be charged with A（Aの罪に問われる）。【誤答】satisfied with（～に満足している）、responsible for（～に責任がある）、deprived of（～を奪われる）。,,,,,,,,,,,,,,,,,
77,2020-2,principles,原理、原則,校長,王子,価格,"""You must understand the basic **principles** of science..."" （科学の基本的な原理を理解しなければなりません...）",【正解】基本的な法則や信条。【誤答】principals（校長/主要な）、princes（王子）、prices（価格）。principal（校長）とは発音が同じでスペル違いの頻出ひっかけ問題。,,,,,,,,,,,,,,,,,
78,2020-2,awkward,気まずい、落ち着かない,授与された,気づいている,素晴らしい,"""He felt **awkward**, so he went home early."" （彼は気まずく感じたので、早く家に帰りました。）",【正解】居心地が悪い、不器用な。対人関係や身体の動きに使います。【誤答】awarded（授与された）、aware（気づいている）、awesome（素晴らしい）。aware of（気づいている）は必須。,,,,,,,,,,,,,,,,,
79,2020-2,translating,翻訳する,輸送する,変形する,送信する,"""...she is **translating** a French novel into English."" （...彼女はフランス語の小説を英語に翻訳しています。）",【正解】trans（越えて）+ late（運ぶ）＝言語を移し替える。【誤答】transporting（輸送する）、transforming（変形する）、transmitting（送信する）。接頭辞trans-を持つ動詞の区別は準1級で重要。,,,,,,,,,,,,,,,,,
80,2020-2,attached,添付した、くっつけた,攻撃した,達成した,引き付けた,"""...so he **attached** it to an e-mail and sent it to her."" （...だから彼はそれをメールに添付して彼女に送りました。）",【正解】ファイルを付ける、物理的にくっつける。【誤答】attacked（攻撃した）、achieved（達成した）、attracted（引き付けた）。attract（魅了する）と混同しないように。,,,,,,,,,,,,,,,,,
81,2020-2,by no means,決して～ない,あらゆる手段で,当分の間,偶然に,"""The match is **by no means** over."" （試合は決して終わっていません。）",【正解】not at allの強調表現。直訳は「いかなる手段によっても～ない」。【誤答】by all means（ぜひとも/あらゆる手段で）、for the time being（当分の間）、by chance（偶然に）。,,,,,,,,,,,,,,,,,
82,2020-2,carry on,続ける,実行する,延期する,中止する,"""...she went outside to **carry on** the conversation."" （...彼女は会話を続けるために外に出ました。）",【正解】continueと同じ意味。【誤答】carry out（実行する）、put off（延期する）、call off（中止する）。carry out（実行する）との混同に注意。,,,,,,,,,,,,,,,,,
83,2020-2,for nothing,無料で、無駄に,永遠に,一瞬,せいぜい,"""But Mom, I got them **for nothing**. A company was giving them away..."" （でもママ、無料でもらったんだよ。ある会社が配っていて...）",【正解】free of chargeと同じ。文脈によっては「無駄に(in vain)」の意味にもなります。【誤答】forever（永遠に）、for a second（一瞬）、at most（せいぜい）。,,,,,,,,,,,,,,,,,
84,2020-3,utilized,利用された、活用された,発言された,団結した,急かされた,"""The computers in the library should be **utilized** for school projects..."" （図書館のコンピュータは学校の課題のために利用されるべきです...）",【正解】useの堅い語。有効活用するニュアンス。【誤答】uttered（発言した）、united（団結した）、urged（急かした）。utterやurgeは準1級物語文で頻出。,,,,,,,,,,,,,,,,,
85,2020-3,conservation,保護、節約,会話,変換,便利さ,"""In Franklin City, water **conservation** has become a big concern."" （フランクリン市では、節水（水の保護）が大きな懸念となっています。）",【正解】資源や自然を守ること。conserve energy（省エネ）。【誤答】conversation（会話）、conversion（変換/改装）、convenience（便利さ）。conversationとの見間違いを誘う定番問題。,,,,,,,,,,,,,,,,,
86,2020-3,elements,要素、元素,象,選挙,高尚な,"""...students learn the names of the **elements** that can be found in nature."" （...生徒たちは自然界に見られる元素の名前を学びます。）",【正解】構成要素。化学では「元素」。elementary school（小学校＝基本の学校）。【誤答】elephants（象）、elections（選挙）、elegant（高尚な/優雅な）。,,,,,,,,,,,,,,,,,
87,2020-3,compliments,褒め言葉,不平,補足,完了,"""I got a lot of **compliments**. One person said they were the most beautiful paintings..."" （たくさんの褒め言葉をもらいました。ある人は...と言いました。）",【正解】praiseと同義。動詞でも使います。【誤答】complaints（不平/苦情）、supplements（補足/サプリメント）、completions（完了）。complaintと形が似ているので注意。,,,,,,,,,,,,,,,,,
88,2020-3,confirm,確認する,適合する,閉じ込める,直面する,"""Kevin, did you call the hotel to **confirm** my reservation...?"" （ケビン、私の予約を確認するためにホテルに電話した？）",【正解】事実かどうか確かめる、確定する。【誤答】conform（適合する/従う）、confine（閉じ込める/制限する）、confront（直面する）。これらcon-で始まる動詞はすべて準1級必須語。,,,,,,,,,,,,,,,,,
89,2020-3,at its best,最高の状態で,最初のうちは,最低でも,最新の,"""Kyoto is **at its best** then."" （その時の京都は最高ですよ。）",【正解】最も良い状態にある。【誤答】at first（最初のうちは）、at least（最低でも）、at the latest（遅くとも/最新の）。,,,,,,,,,,,,,,,,,
90,2020-3,ashamed of,～を恥じて,～を恐れて,～に飽きて,～を誇りに思って,"""Becky was **ashamed of** her low test scores..."" （ベッキーは低いテストの点数を恥じていました...）",【正解】恥ずかしいと感じる。shame（恥）の形容詞。【誤答】afraid of（～を恐れて）、tired of（～に飽きて/うんざりして）、proud of（～を誇りに思って）。,,,,,,,,,,,,,,,,,
91,2020-3,on the go,忙しく働いて、活動して,途中で,販売中で,展示中で,"""Victor likes his new job because he is always **on the go**."" （ビクターはいつもあちこち飛び回っている（活動している）ので、新しい仕事が気に入っています。）",【正解】休みなく動いている状態。busy and active。【誤答】on the way（途中で）、on sale（販売中で）、on display（展示中で）。,,,,,,,,,,,,,,,,,
92,2020-3,ancestors,先祖、祖先,子孫,古代の,錨（いかり）,"""...hagfish are the **ancestors** of all creatures with backbones..."" （...ヌタウナギは、背骨を持つすべての生き物の先祖です...）",【正解】前の時代の人・生物。descendants（子孫）の対義語。【誤答】descendants（子孫）、ancient（古代の）、anchors（錨）。Reading（Hagfish）からの出題。,,,,,,,,,,,,,,,,,
93,2021-1,genuine,本物の、真の,寛大な,一般的な,遺伝子の,"""...thought was a **genuine** Picasso, was actually just a copy."" （...本物のピカソだと思っていた絵が、実際にはただの模写でした。）",【正解】偽物ではないこと。authenticと同義。革製品（genuine leather）などで見かけます。【誤答】generous（寛大な）、general（一般的な）、genetic（遺伝子の）。これらはgen-で始まる紛らわしい語群です。,,,,,,,,,,,,,,,,,
94,2021-1,humanity,人間性、人類,湿気,謙虚さ,屈辱,"""She was known as a person who cared about **humanity**."" （彼女は人類（人間性）を大切にする人として知られていました。）",【正解】human（人間）の名詞形。慈愛という意味もあります。【誤答】humidity（湿気）、humility（謙虚さ）、humiliation（屈辱）。humilityは準1級の超重要語（humbleの名詞形）。,,,,,,,,,,,,,,,,,
95,2021-1,sensation,感覚、感じ,選択,孤立,翻訳,"""He had the **sensation** that someone was watching him."" （彼は誰かが自分を見ているような感覚（気配）がしました。）",【正解】sense（感覚）から派生。大ニュース（センセーション）の意味でも使います。【誤答】selection（選択）、isolation（孤立）、translation（翻訳）。isolationはコロナ禍以降、頻出度が上がっています。,,,,,,,,,,,,,,,,,
96,2021-1,minerals,ミネラル、鉱物,奇跡,鏡,哺乳類,"""...it has many **minerals** that her body needs."" （...それには彼女の体が必要とする多くのミネラルが含まれています。）",【正解】鉱山（mine）から採れるもの。栄養素としてのミネラル。【誤答】miracles（奇跡）、mirrors（鏡）、mammals（哺乳類）。mammalは生物系長文の必須語。,,,,,,,,,,,,,,,,,
97,2021-1,navigate,航行する、進路を決める,調査する,移住する,翻訳する,"""In the past, sailors had to use the stars to **navigate** when they were on an ocean."" （昔、船乗りは海にいるとき、星を使って航行しなければなりませんでした。）",【正解】地図や星を見て進むべき道を決めること。カーナビのナビ。【誤答】investigate（調査する）、migrate（移住する/渡る）、translate（翻訳する）。migrateは鳥の渡りなどで出ます。,,,,,,,,,,,,,,,,,
98,2021-1,preserve,保つ、保護する,予約する,観察する,デザート,"""...goes for a long walk every evening to **preserve** her health."" （...健康を保つために毎晩長い散歩に出かけます。）",【正解】pre（前もって）+ serve（保つ）。環境保護（preservation）でも重要。【誤答】reserve（予約する/取っておく）、observe（観察する/守る）、dessert（デザート）。スペルが似ている語との混同に注意。,,,,,,,,,,,,,,,,,
99,2021-1,in vain,無駄に,詳細に,流行して,前もって,"""...she is going to shop online to find one **in vain**."" （...彼女はオンラインで探そうとしましたが、無駄でした。）※実際の試験では文脈上「確実に(for sure)」が正解の選択肢でしたが、in vainも選択肢にある重要熟語です。",【正解】努力が実らないこと。vain（うぬぼれた/空虚な）。【誤答】in detail（詳細に）、in vogue（流行して）、in advance（前もって）。,,,,,,,,,,,,,,,,,
100,2021-2,domestic,国内の、家庭の,劇的な,民主主義の,支配的な,"""Many people ... choose **domestic** products instead of foreign ones..."" （多くの人々は...外国製品の代わりに国内製品を選びます...）",【正解】ドメスティック・バイオレンス（家庭内暴力）のドメスティックですが、経済では「国産の(GDPのD)」の意味が主です。【誤答】dramatic（劇的な）、democratic（民主主義の）、dominant（支配的な）。,,,,,,,,,,,,,,,,,
101,2021-2,submit,提出する,認める,許可する,省略する,"""...please **submit** your assignment to Ms. Edwards."" （...課題をエドワーズ先生に提出してください。）",【正解】hand inの堅い語。「服従する」という意味もあります。【誤答】admit（認める/入場を許す）、permit（許可する）、omit（省略する）。-mit（送る）で終わる動詞の区別は必須。,,,,,,,,,,,,,,,,,
102,2021-2,evidence,証拠,確信,発生,住居,"""The police had **evidence** that showed the man had robbed the bank."" （警察は男が銀行を襲ったことを示す証拠を持っていました。）",【正解】proofと同義。不可算名詞であることに注意。【誤答】confidence（確信/自信）、incidence（発生率）、residence（住居）。-enceで終わる名詞の識別問題。,,,,,,,,,,,,,,,,,
103,2021-2,evolution,進化,革命,解決,汚染,"""Andy focused on **evolution** for his science report."" （アンディは科学のレポートで進化に焦点を当てました。）",【正解】徐々に発展すること。evolve（進化する）。【誤答】revolution（革命/回転）、resolution（解決/決意）、pollution（汚染）。RとEの違いで意味が大きく変わります。,,,,,,,,,,,,,,,,,
104,2021-2,irritating,イライラさせる,灌漑（かんがい）する,従う,まねる,"""...sound of the construction ... was **irritating** her."" （...工事の音が...彼女をイライラさせていました。）",【正解】怒らせる、刺激する。annoyingより強い不快感。【誤答】irrigating（水を引く/灌漑する）、obeying（従う）、imitating（まねる）。irrigateは準1級環境・農業テーマの重要語。,,,,,,,,,,,,,,,,,
105,2021-2,sufficient for,～に十分な,～に効率的な,～に欠乏した,～に熟練した,"""Do you think $400 will be **sufficient for** three days in New York?"" （ニューヨークでの3日間に400ドルで十分だと思いますか？）",【正解】enoughの堅い語。【誤答】efficient for（～に効率的な）、deficient in（～が欠乏した）、proficient in（～に熟練した）。-cientで終わる形容詞の識別はテストの定番。,,,,,,,,,,,,,,,,,
106,2021-2,take over,引き継ぐ、乗っ取る,離陸する,参加する,似ている,"""Michael is going to **take over** as captain."" （マイケルがキャプテンとして引き継ぐことになります。）",【正解】責任や地位を交代する。企業の買収（TOB）でも使われます。【誤答】take off（離陸する/脱ぐ）、take part (in)（参加する）、take after（似ている）。take afterもID17で登場します。,,,,,,,,,,,,,,,,,
107,2021-3,precise,正確な、精密な,貴重な,以前の,簡潔な,"""...can you tell me the **precise** amount?"" （...正確な金額を教えてくれますか？）",【正解】exactと同義。precision（精密さ）。【誤答】precious（貴重な）、previous（以前の）、concise（簡潔な）。pre-で始まる形容詞のひっかけです。,,,,,,,,,,,,,,,,,
108,2021-3,persuasion,説得,侵略,許可,任務,"""Good teachers always use **persuasion** rather than threats..."" （良い教師は脅しではなく説得を使います...）",【正解】persuade（説得する）の名詞形。【誤答】invasion（侵略）、permission（許可）、mission（任務）。invasionはinvade（侵略する）の名詞形。,,,,,,,,,,,,,,,,,
109,2021-3,vehicles,乗り物、車両,記事,粒子,奇跡,"""Every day, about 420,000 **vehicles** travel on it."" （毎日、約42万台の車両がそこを通行します。）",【正解】車、バス、トラックの総称。媒体という意味もあります。【誤答】articles（記事）、particles（粒子）、miracles（奇跡）。particleは物理・化学系長文で重要。,,,,,,,,,,,,,,,,,
110,2021-3,did away with,～を廃止した,～と仲良くやった,～を思いついた,～を我慢した,"""The fast-food restaurant **did away** with extra-large drinks..."" （そのファストフード店は特大ドリンクを廃止しました...）",【正解】abolish（廃止する）の熟語表現。準1級合格には必須のイディオムです。【誤答】got along with（～と仲良くやった）、came up with（～を思いついた）、put up with（～を我慢した）。,,,,,,,,,,,,,,,,,
111,2021-3,specialize in,～を専門にする,～で妥協する,～を監督する,～を組織する,"""Alex decided to **specialize in** online crime..."" （アレックスはオンライン犯罪を専門にすることに決めました...）",【正解】大学の専攻や医師の専門分野を表す際に使います。【誤答】compromise on（～で妥協する）、supervise（監督する）、organize（組織する）。compromiseは準1級の超頻出語。,,,,,,,,,,,,,,,,,
112,2021-3,persisted in,～し続けた、固執した,～に抵抗した,～を主張した,～から成る,"""...if he **persisted in** behaving badly, she would send him..."" （...もし彼が行儀の悪さを固執し続ける（やめない）なら、彼女は彼を...）",【正解】per（通して）+ sist（立つ）＝頑固に続ける。continueより執拗なニュアンス。【誤答】resisted（抵抗した）、insisted（主張した）、consisted of（～から成る）。-sist動詞の区別は必須。,,,,,,,,,,,,,,,,,
113,2021-3,takes after,～に似ている,～の世話をする,～を探す,～を延期する,"""Arnold thinks that his daughter **takes after** him."" （アーノルドは娘が自分に似ていると思っています。）",【正解】resembleと同義。親や年上の血縁者に似ている場合に使います。【誤答】looks after（世話をする）、looks for（探す）、puts off（延期する）。look afterと混同しないように。,,,,,,,,,,,,,,,,,
114,2021-3,work out,うまくいく、解決する、運動する,外に出る,使い果たす,目立つ,"""That won’t **work out**."" （それはうまくいかないでしょう。）",【正解】計画などが成功する(succeed)、問題が解ける(solve)、ジムで運動する(exercise)という多義語。【誤答】go out（外出する/消える）、run out（使い果たす）、stand out（目立つ）。,,,,,,,,,,,,,,,,,
115,2022-1,accomplish,成し遂げる、達成する,減らす,団結させる,圧倒する,"""She is trying to **accomplish** this by going to a cooking school."" （彼女は料理学校へ通うことで、これを成し遂げようとしています。）",【正解】目標などを達成する。achieveより努力のニュアンスが強い。【誤答】decrease（減らす）、unite（団結させる）、overwhelm（圧倒する）。overwhelmは準1級リスニングで「圧倒される(be overwhelmed)」の形で頻出。,,,,,,,,,,,,,,,,,
116,2022-1,sufficient,十分な,可能な,繊細な,財政的な,"""Frank did not have **sufficient** time to write his report..."" （フランクにはレポートを書くための十分な時間がありませんでした...）",【正解】enoughの堅い語。sufficiency（十分）。【誤答】possible（可能な）、delicate（繊細な/壊れやすい）、financial（財政的な）。financialは2024年などでも繰り返し出題される必須語。,,,,,,,,,,,,,,,,,
117,2022-1,severely,ひどく、厳しく,精神的に,知的に,毎年,"""...but the building was **severely** damaged."" （...しかし建物はひどく損害を受けました。）",【正解】被害や怪我が深刻なこと。severe injury（重傷）。【誤答】mentally（精神的に）、intelligently（知的に）、annually（毎年）。annuallyはannual report（年次報告書）などで重要。,,,,,,,,,,,,,,,,,
118,2022-1,accompany,同行する、伴う,制限する,分配する,促進する,"""...so she asked her friend Jeremy to **accompany** her."" （...だから彼女は友人のジェレミーに同行してくれるよう頼みました。）",【正解】一緒に行く。company（仲間/会社）の動詞形。【誤答】restrict（制限する）、distribute（分配する）、promote（促進する/昇進させる）。distributeは第3回(ID 21)で正解として登場します。,,,,,,,,,,,,,,,,,
119,2022-1,mission,任務、使命,基礎,印象,定義,"""The astronauts’ **mission** is to repair a weather satellite."" （宇宙飛行士の任務は気象衛星を修理することです。）",【正解】特別な目的を持った仕事。impossible mission（不可能な任務）。【誤答】foundation（基礎/財団）、impression（印象）、definition（定義）。definitionはdefine（定義する）の名詞形。,,,,,,,,,,,,,,,,,
120,2022-1,launch,発射する、開始する,選出する,衝撃を与える,掃く,"""...wait to **launch** the rocket into space."" （...ロケットを宇宙へ発射するのを待たなければなりませんでした。）",【正解】ロケットの発射や、新商品の発売（product launch）。【誤答】elect（選出する）、impact（衝撃を与える/影響する）、sweep（掃く）。impact on（～への影響）は重要。,,,,,,,,,,,,,,,,,
121,2022-1,content with,～に満足して,～から離れて,～に基づいて,～と等しい,"""Neil has been much more **content with** his work-life balance."" （ニールはワークライフバランスにはるかに満足しています。）",【正解】satisfied withと同義。content（中身、コンテンツ）とはアクセントが違う（形容詞は後ろ）ので注意。【誤答】separate from（～から離れて）、based on（～に基づいて）、equal to（～と等しい）。,,,,,,,,,,,,,,,,,
122,2022-1,By all means,ぜひとも、もちろん,いずれにせよ,とにかく,概して,"""**By all means**. There should be more than enough for everyone..."" （もちろんいいわよ。みんなに行き渡る十分な量があるはずだから...）",【正解】許可や同意を強調する表現。直訳は「あらゆる手段で（いいですよ）」。【誤答】In any case（いずれにせよ）、At any rate（とにかく）、On the whole（概して）。,,,,,,,,,,,,,,,,,
123,2022-2,remarkably,著しく、驚くほど,神経質に,突然,注意深く,"""...she gave a **remarkably** good English presentation..."" （...彼女は驚くほど良い英語のプレゼンをしました...）",【正解】注目に値するほど。remark（述べる/注目する）+ able。【誤答】nervously（神経質に）、suddenly（突然）、carefully（注意深く）。,,,,,,,,,,,,,,,,,
124,2022-2,conflict,対立、紛争,患者,フレーズ,勇気,"""...afraid that the **conflict** between the two countries will cause a war."" （...二国間の対立が戦争を引き起こすことを恐れています。）",【正解】争い。con（共に）+ flict（打つ）。【誤答】patient（患者/忍耐強い）、phrase（フレーズ）、courage（勇気）。patientの名詞・形容詞の使い分けは必須。,,,,,,,,,,,,,,,,,
125,2022-2,reputation,評判,予期,観察,試験,"""The restaurant lost its good **reputation**..."" （そのレストランは良い評判を失いました...）",【正解】世間からの評価。repute（評する）。【誤答】anticipation（予期/楽しみ）、observation（観察）、examination（試験/検査）。anticipate（予期する）は準1級重要語。,,,,,,,,,,,,,,,,,
126,2022-2,expose,さらす、暴露する,抗議する,実施する、指揮する,代表する,"""...it is not good to **expose** skin to too much sunlight."" （...肌を過度の日光にさらすのは良くありません。）",【正解】保護なしで外に出す。exposure（露出）。【誤答】protest（抗議する）、conduct（実施する/指揮する）、represent（代表する）。conduct a survey（調査を行う）は定型表現。,,,,,,,,,,,,,,,,,
127,2022-2,flexibility,柔軟性、融通性,大多数,類似点,量,"""...many companies are offering their employees a lot of **flexibility**."" （...多くの企業が従業員に多くの柔軟性（融通）を提供しています。）",【正解】状況に合わせて変えられること。flexible（柔軟な）。【誤答】majority（大多数）、similarity（類似点）、quantity（量）。majority of（～の大多数）はグラフ問題で必須。,,,,,,,,,,,,,,,,,
128,2022-2,abandon,捨てる、放棄する,維持する,妨げる,供給する,"""...he had to **abandon** his car and walk..."" （...彼は車を乗り捨てて歩かなければなりませんでした...）","【正解】give up, leave behindと同義。【誤答】maintain（維持する）、prevent（妨げる）、supply（供給する）。maintainはメンテナンスの動詞。",,,,,,,,,,,,,,,,,
129,2022-2,eliminated,除外された、敗退した,献身した,防御した,輸入した,"""...unhappy about being **eliminated** from the badminton tournament..."" （...バドミントンのトーナメントから敗退した（除外された）ことに不満でした...）",【正解】リストや競争から外すこと。eliminate waste（無駄を省く）。【誤答】committed（献身した/犯した）、defended（防御した）、imported（輸入した）。committed to（～にコミットする）はビジネス英語の基本。,,,,,,,,,,,,,,,,,
130,2022-2,refrain from,～を控える,～を通読する,～を熟考する,～を参照する,"""Sarah has been told to **refrain from** running..."" （サラは走ることを控えるよう言われています...）",【正解】したいことを我慢してやめる。公共のアナウンス（Please refrain from smoking）でよく使われます。【誤答】read through（通読する）、reflect on（熟考する/反射する）、refer to（参照する/言及する）。refer toは長文で必須。,,,,,,,,,,,,,,,,,
131,2022-2,interfering with,～に干渉する、邪魔をする,～を当てにする,～を主張する,～と比較する,"""Jason has asked his mother ... to stop **interfering with** his personal life."" （ジェイソンは母に...私生活に干渉するのをやめるよう頼みました。）",【正解】邪魔をする、口出しする。【誤答】counting on（当てにする/頼る）、insisting on（主張する）、comparing with（比較する）。count on = rely on。,,,,,,,,,,,,,,,,,
132,2022-2,in vain,無駄に,最近,確実に,偶然に,"""...but his efforts were **in vain**."" （...しかし彼の努力は無駄でした。）",【正解】実を結ばないこと。2021年にも出題された重要表現です。【誤答】of late（最近/lately）、for sure（確実に）、by chance（偶然に）。,,,,,,,,,,,,,,,,,
133,2022-3,incredibly,信じられないほど、非常に,部分的に,熱心に,その結果,"""Companies ... are making cameras that are **incredibly** small."" （企業は...信じられないほど小さいカメラを作っています。）",【正解】extremelyの強調表現。incredible（信じられない）。【誤答】partially（部分的に）、eagerly（熱心に）、consequently（その結果）。consequentlyは論理展開の重要語。,,,,,,,,,,,,,,,,,
134,2022-3,tension,緊張、緊迫状態,生存,プライバシー,正義,"""...there has been a lot of **tension** between them."" （...彼らの間には多くの緊張（ピリピリした空気）があります。）",【正解】精神的な緊張や、糸などの張り。tense（張り詰めた）。【誤答】survival（生存）、privacy（プライバシー）、justice（正義）。,,,,,,,,,,,,,,,,,
135,2022-3,distribute,分配する、配布する,反応する,交渉する,崩壊する,"""...asked her to **distribute** the new textbooks to all of the students."" （...新しい教科書を全生徒に配布するよう彼女に頼みました。）",【正解】配る（hand out）。流通（distribution）の意味でも重要。【誤答】respond（反応する）、negotiate（交渉する）、collapse（崩壊する）。collapseは建物や経済の崩壊で使われます。,,,,,,,,,,,,,,,,,
136,2022-3,notion,概念、考え,版（エディション）,接触,本能,"""...written about the **notion** of traveling at the speed of light."" （...光速で移動するという概念について書きました。）",【正解】ideaやconceptに近いが、少し曖昧な「考え」を指すことが多い。【誤答】edition（版）、contact（接触）、instinct（本能）。instinctは生物系長文で頻出。,,,,,,,,,,,,,,,,,
137,2022-3,ancestors,先祖,天使,従業員,敵,"""...she discovered that one of her **ancestors** used to work in a famous theater..."" （...彼女は先祖の一人が有名な劇場で働いていたことを発見しました...）",【正解】家系の前の人々。descendants（子孫）の対義語。【誤答】angels（天使）、employees（従業員）、enemies（敵）。,,,,,,,,,,,,,,,,,
138,2022-3,inherited from,～から受け継いだ,～でバランスをとった,～に反対した,～によって禁止された,"""His business was **inherited from** his father..."" （彼のビジネスは父親から受け継がれました...）",【正解】遺産や遺伝質を受け継ぐ。heritage（遺産）。【誤答】balanced on（～でバランスをとった）、opposed to（～に反対した）、prohibited by（～によって禁止された）。opposeとprohibitは準1級必須動詞。,,,,,,,,,,,,,,,,,
139,2022-3,gives off,（熱・光・臭いを）発する,脱落する,使い果たす,防ぐ,"""It’s small, but it **gives off** plenty of heat."" （小さいですが、十分な熱を発します。）",【正解】emitと同義。臭いや雰囲気を「出す」時にも使います。【誤答】drops out（脱落する/退学する）、runs out（使い果たす）、keeps off（立ち入らない/防ぐ）。run out of（～を使い果たす）は頻出。,,,,,,,,,,,,,,,,,
140,2023-1,judgment,判断（力）,収入,慣習,地理,"""You have to use your own **judgment** to decide."" （あなたは決めるために独自の判断（力）を使わなければなりません。）",【正解】物事を決める能力。judge（裁判官/判断する）の名詞形。【誤答】income（収入）、convention（慣習/大会）、geography（地理）。conventionは「条約」などの意味で準1級頻出。,,,,,,,,,,,,,,,,,
141,2023-1,vague,あいまいな,有害な,以前の,確信している,"""...some of the explanations you gave are a bit **vague**."" （...あなたがした説明の一部は少しあいまいで。）",【正解】はっきりしないこと。unclearの堅い語。準1級ライティングで「理由があいまいだ」と指摘する際などに使えます。【誤答】harmful（有害な）、previous（以前の）、certain（確信している/ある～）。,,,,,,,,,,,,,,,,,
142,2023-1,confront,直面する、立ち向かう,変える,感銘を与える,名誉を与える,"""Finally, he decided to **confront** the problem..."" （ついに、彼はその問題に立ち向かうことに決めました...）",【正解】con（共に）+ front（顔・前）＝面と向かう。避けていた問題に向き合うこと。【誤答】alter（変える）、impress（感銘を与える）、honor（名誉を与える）。alterはchangeの書き換え語として重要。,,,,,,,,,,,,,,,,,
143,2023-1,proceeded,（特定の方向へ）進んだ,説明した,思い出させた,防御した,"""The St. Patrick’s Day parade ... **proceeded** slowly to the center of town."" （セントパトリックスデーのパレードは...町の中心へゆっくりと進みました。）",【正解】前へ進む。process（過程）と同語源。【誤答】illustrated（説明した/挿絵を入れた）、reminded（思い出させた）、defended（防御した）。illustrateは図表問題で必須。,,,,,,,,,,,,,,,,,
144,2023-1,individually,個別に、一人ずつ,法的に,財政的に,誤って,"""...she asked the salesclerk to wrap them **individually**."" （...彼女は店員にそれらを個別に包むよう頼みました。）",【正解】separatelyと同義。individual（個人の）。【誤答】legally（法的に）、financially（財政的に）、accidentally（誤って/偶然に）。financiallyは2024年など近年の頻出語。,,,,,,,,,,,,,,,,,
145,2023-1,stressed,強調した,従事させた,分割した,埋めた,"""In the first lecture, Professor Smith **stressed** how important it was..."" （最初の講義で、スミス教授はそれがいかに重要かを強調しました...）",【正解】emphasizedと同義。「ストレスを感じた」という意味以外に「強調する」という意味がある点に注意。【誤答】engaged（従事させた/婚約した）、divided（分割した）、buried（埋めた）。,,,,,,,,,,,,,,,,,
146,2023-1,shut off,（電気・水などを）止める,～だと聞いた,ひっくり返す,除外する,"""...the electricity to the houses on the street had to be **shut off**..."" （...その通りの家への電気は止められなければなりませんでした...）",【正解】供給を断つこと。【誤答】heard of（～だと聞いた）、turned over（ひっくり返す/譲る）、ruled out（除外する）。rule outは可能性を否定する際に使う重要熟語。,,,,,,,,,,,,,,,,,
147,2023-1,in person,直接会って、対面で,気楽に,詳細に,長々と,"""Applicants for jobs ... must apply **in person**."" （求職者は...直接会って（対面で）申し込まなければなりません。）",【正解】電話やメールではなく、本人が直接。face-to-face。【誤答】at ease（気楽に）、in detail（詳細に）、at length（長々と/詳細に）。,,,,,,,,,,,,,,,,,
148,2023-2,previous,以前の、前の,中立の,正確な,適切な,"""I like it better than my **previous** school."" （私は前の学校よりもそこが好きです。）",【正解】pre（前）+ vious（道）。formerに近い。【誤答】neutral（中立の）、exact（正確な）、appropriate（適切な）。neutralは議論系のトピックで重要。,,,,,,,,,,,,,,,,,
149,2023-2,disadvantage,不利な点、デメリット,構造,手荷物,講義,"""...one **disadvantage** is that she cannot go out with her friends..."" （...一つのデメリットは、彼女が友人と出かけられないことです...）","【正解】drawback, downsideと同義。Pros and Cons（賛否）を論じる際の必須語。【誤答】structure（構造）、baggage（手荷物）、lecture（講義）。",,,,,,,,,,,,,,,,,
150,2023-2,regulate,規制する、調整する,再生する,イライラさせる,感銘を与える,"""...demand that the government make rules to **regulate** banks more strictly."" （...政府に銀行をもっと厳しく規制するルールを作るよう要求し...）",【正解】ルールで縛る、または機械を調整する。regulation（規則）。【誤答】reproduce（再生する/繁殖する）、irritate（イライラさせる）、impress（感銘を与える）。,,,,,,,,,,,,,,,,,
151,2023-2,rejection,拒絶、不採用通知,症状,伝記,貢献,"""...he thought that the letter from the company would be a **rejection**."" （...彼は会社からの手紙は不採用通知（拒絶）だろうと思いました。）",【正解】断ること。reject（拒絶する）の名詞形。【誤答】symptom（症状）、biography（伝記）、contribution（貢献）。symptomは医療・健康トピックで必須。,,,,,,,,,,,,,,,,,
152,2023-2,extended,（招待などを）出した、広げた,取り除いた,比較した,証明した,"""Chris **extended** his invitation to the barbecue party to friends..."" （クリスはバーベキューパーティーへの招待を友人たちに出しました（広げました）。）",【正解】範囲を広げる、期間を延長する、招待状を出す、という多義語。【誤答】removed（取り除いた）、compared（比較した）、proved（証明した）。,,,,,,,,,,,,,,,,,
153,2023-2,decades,数十年（decadeの複数形）,刑務所,原理,社会,"""...after four **decades** of working there, he is going to retire."" （...そこで40年（4つの十年）働いた後、彼は引退するつもりです。）",【正解】10年間。4 decades = 40 years。【誤答】jails（刑務所）、principles（原理/原則）、societies（社会）。principleは2020年にも出題されています。,,,,,,,,,,,,,,,,,
