ID,出典,問題文,正解,誤答1,誤答2,誤答3,意味・分類タグ,文意訳（ヒント）,解説,,,,,,,,,,,,,,,,
123,2019-1,"After all his hard work, Steven felt that he was ( ) a pay raise.",entitled to,related to,stuck in,absorbed in,熟語・権利がある,一生懸命働いたので、スティーブンは自分には昇給の資格があると感じました。,【正解のポイント】be entitled to（～の権利がある、資格がある）。title（権利・肩書き）を与えるイメージ。準1級重要熟語。【紛らわしい選択肢】absorbed in（～に夢中になっている）。,,,,,,,,,,,,,,,,
124,2019-1,( ) who did not have receipts were unhappy.,Those,This,That,These,文法・人々,レシートを持っていない人々は不満でした。,【正解のポイント】Those who...（～する人々）。People who...の堅い言い換え。【紛らわしい選択肢】単数形や他の指示代名詞は文法的に不可。,,,,,,,,,,,,,,,,
125,2019-1,"Well, ( ) that you had a child, how would you feel?",suppose,wish,except,so,文法・もし～なら,もしあなたに子供がいたとしたら、どう感じますか？,【正解のポイント】Suppose (that)...（もし～だとしたら）。Ifの代用となる命令法。【紛らわしい選択肢】wishは仮定法過去（I wish I had...）で使うが、文頭の接続詞的用法ではない。,,,,,,,,,,,,,,,,
126,2019-1,"Now, she can run 5 kilometers in half ( ) that it used to take her.",the time,times,of time,timing,文法・倍数表現,今では、彼女は以前かかっていた半分の時間で5キロ走れます。,【正解のポイント】half the time（半分の時間）。倍数表現（half the size/twice the price）の語順。【紛らわしい選択肢】of timeなど前置詞を入れる必要はありません。,,,,,,,,,,,,,,,,
127,2019-1,"However, unlike normal fossils, which are hard and usually found in rock, amber is able to ( ) soft materials, too.",preserve,buy,create,study,長文語彙・保存する,しかし、硬くて通常岩の中で見つかる通常の化石とは異なり、琥珀は柔らかい物質も保存することができます。,【正解のポイント】長文（The Mysteries of Amber）より。状態を保つこと。preserve（保存する）。2017年にも出ていますが、重要なので再掲。【紛らわしい選択肢】選択肢は文脈に合わない動詞。,,,,,,,,,,,,,,,,
128,2019-2,The restaurant decided to close because of many ( ).,factors,suburbs,vehicles,units,名詞・要因,そのレストランは多くの要因のために閉店することに決めました。,【正解のポイント】原因となる要素。factor（要因）。準1級の長文読解や英作文（causes and effects）で多用されます。【紛らわしい選択肢】suburbs（郊外）。,,,,,,,,,,,,,,,,
129,2019-2,There are instructions on the envelope that tell people not to ( ) the envelope so they do not damage the card.,bend,raise,trap,deal,動詞・曲げる,封筒には、カードを傷つけないように封筒を曲げないでくださいという指示があります。,【正解のポイント】物理的に曲げること。bend。【紛らわしい選択肢】trap（罠にかける、閉じ込める）。,,,,,,,,,,,,,,,,
130,2019-2,Brandon ( ) to a local photography club.,belongs,informs,figures,repeats,動詞・所属する,ブランドンは地元の写真クラブに所属しています。,【正解のポイント】belong to（～に所属している）。【紛らわしい選択肢】inform（知らせる）。,,,,,,,,,,,,,,,,
131,2019-2,Mr. Johnson studied karate for many years and ( ) became the karate teacher.,eventually,slightly,mildly,heavily,副詞・ついに,ジョンソン氏は長年空手を学び、ついに（最終的に）空手の先生になりました。,【正解のポイント】時間が経過した結果。eventually（結局は、ついに）。finallyと近いが、過程の長さを強調するニュアンス。【紛らわしい選択肢】slightly（わずかに）、mildly（穏やかに）。,,,,,,,,,,,,,,,,
132,2019-2,"However, one ( ) is that he often hits his head on low doorways.",disadvantage,ingredient,technique,foundation,名詞・欠点,しかし、一つの欠点は、低い戸口でよく頭をぶつけることです。,【正解のポイント】背が高いことの悪い点。disadvantage（不利な点、欠点）。pros and cons（良い点と悪い点）の文脈で必須。【紛らわしい選択肢】ingredient（材料、成分）。,,,,,,,,,,,,,,,,
133,2019-2,"After watching the Olympic marathon, Karen was ( ) to start jogging.",inspired,created,astonished,disturbed,動詞・触発される,オリンピックのマラソンを見て、カレンはジョギングを始める気になりました（触発されました）。,【正解のポイント】何かを見てやる気をもらうこと。inspire（鼓舞する、着想を与える）。【紛らわしい選択肢】astonished（ひどく驚いた）、disturbed（邪魔した、不安にさせた）。,,,,,,,,,,,,,,,,
134,2019-2,"Last week, she decided to take part in an art ( ) at her school.",competition,definition,expectation,revolution,名詞・コンテスト,先週、彼女は学校の美術コンクールに参加することに決めました。,【正解のポイント】順位を競うもの。competition（競争、試合）。compete（競う）の名詞形。【紛らわしい選択肢】definition（定義）、revolution（革命）。,,,,,,,,,,,,,,,,
135,2019-2,The Queen’s Forest Golf Club is very ( ). It only accepts 20 new members each year.,exclusive,portable,vital,embarrassed,形容詞・排他的な,クイーンズ・フォレスト・ゴルフクラブは非常に高級（排他的）です。毎年20人の新会員しか受け入れません。,【正解のポイント】限られた人しか入れない。exclusive（排他的な、高級な、独占的な）。準1級・1級レベルの形容詞ですが2級で正解になります。【紛らわしい選択肢】vital（極めて重要な）、embarrassed（恥ずかしい）。,,,,,,,,,,,,,,,,
136,2019-2,"When the woman saw a car accident last night, she immediately called an ( ).",ambulance,accomplishment,occasion,objection,名詞・救急車,昨夜交通事故を見たとき、女性はすぐに救急車を呼びました。,【正解のポイント】事故の対応。ambulance（救急車）。【紛らわしい選択肢】accomplishment（達成）、objection（異議）。,,,,,,,,,,,,,,,,
137,2019-2,Greg was pleased when his school ( ) with its uniform. He prefers wearing casual clothes to school.,did away,caught up,got away,kept up,句動詞・廃止する,グレッグは学校が制服を廃止したとき喜びました。,【正解のポイント】制服をなくす。do away with（廃止する）。2017年にも出題された超頻出熟語です。【紛らわしい選択肢】catch up (with)（追いつく）。,,,,,,,,,,,,,,,,
138,2019-2,"Who do you ( ), your mother or your father? - I look like my father.",take after,read through,look through,go after,句動詞・似ている,お父さんとお母さん、どっちに似てる？ - 父に似ています。,【正解のポイント】親に似る。take after（（血縁者に）似ている）。resembleの口語。【紛らわしい選択肢】go after（追いかける）。,,,,,,,,,,,,,,,,
139,2019-2,She is anxious ( ) being away from her family for such a long time.,about,on,by,below,熟語・心配している,彼女はそんなに長い間家族と離れることを心配しています。,【正解のポイント】be anxious about（～を心配している）。be anxious for（～を切望している）との違いに注意。,,,,,,,,,,,,,,,,
140,2019-2,They’re just a little present to ( ) for canceling our date last week.,make up,sign up,go out,come out,句動詞・埋め合わせる,先週のデートをキャンセルした埋め合わせをするためのちょっとしたプレゼントよ。,【正解のポイント】make up for（～の埋め合わせをする、償う）。compensate forの口語。【紛らわしい選択肢】sign up（登録する）。,,,,,,,,,,,,,,,,
141,2019-2,Mr. Smith told his students to organize their reports ( ): they must begin with...,as follows,by nature,in stock,off duty,熟語・次の通り,スミス先生は生徒たちにレポートを次のようにまとめるよう言いました。,【正解のポイント】具体例を列挙する前の導入。as follows（次の通り）。【紛らわしい選択肢】by nature（生まれつき）、in stock（在庫がある）。,,,,,,,,,,,,,,,,
142,2019-2,"I did, but I went ( ) and secretly gave the customers a discount.",behind his back,in his favor,at his feet,to his joy,熟語・隠れて,そうだけど、彼（上司）のいないところでこっそり客に割引をしたんだ。,【正解のポイント】behind someone's back（人のいないところで、陰で）。【紛らわしい選択肢】in his favor（彼に有利に）。,,,,,,,,,,,,,,,,
143,2019-2,He has become ( ) it over the last year.,accustomed to,relevant to,guilty of,worthy of,熟語・慣れる,彼はここ一年でそれに慣れました。,【正解のポイント】be accustomed to（～に慣れている）。【紛らわしい選択肢】relevant to（～に関連がある）は準1級必須。,,,,,,,,,,,,,,,,
144,2019-2,"Having ( ) his cup of coffee, Harry paid his bill and left the café.",finished,finish,been finished,finishing,文法・完了分詞構文,コーヒーを飲み終えて、ハリーは勘定を払ってカフェを出ました。,【正解のポイント】Having + 過去分詞（～したので、～した後で）。主節より前の時間を表す分詞構文。【紛らわしい選択肢】finishing（単純な分詞構文）だと同時進行になるため不自然。,,,,,,,,,,,,,,,,
145,2019-2,"Oh, there is ( ) left. We’ll have to buy some.",none,not more,no one,any more,文法・代名詞,ああ、一つも残っていないよ。買わなきゃ。,【正解のポイント】何も無いこと（数量）。none（何も～ない）。no milkの代わり。【紛らわしい選択肢】no oneは人を指す。,,,,,,,,,,,,,,,,
146,2019-2,Water is to fish ( ) land is to humans.,what,which,than,for,文法・関係代名詞,魚にとっての水は、人間にとっての陸と同じである。,【正解のポイント】A is to B what C is to D（AのBに対する関係はCのDに対する関係と同じだ）。定型構文です。,,,,,,,,,,,,,,,,
147,2019-2,"Although it is more expensive, many musicians believe it ( ) to know their instruments are safe.",is worth the price,is a poor way,increases their concerts,reduces costs,長文語彙・価値がある,高額ですが、多くのミュージシャンは楽器が安全だと知ることにはその価格の価値があると考えています。,【正解のポイント】長文（Trouble with Transporting）より。worth the price（価格に見合う価値がある）。worth ～ing（～する価値がある）も重要。,,,,,,,,,,,,,,,,
148,2019-2,"This suggests that cities do not need to get rid of slums. Instead, slums can ( ).",be a good thing,make business worse,clean up,result in crime,長文語彙・スラムの変化,これは、都市がスラムを排除する必要がないことを示唆しています。その代わり、スラムは良いものになり得るのです。,【正解のポイント】長文（Changing Slums）より。文脈理解。スラムの住民がビジネスを生み出し経済に貢献するというポジティブな文脈。,,,,,,,,,,,,,,,,
149,2019-3,Rick decided to quit his job because the pay was not ( ).,adequate,obvious,ridiculous,intensive,形容詞・十分な,リックは給料が十分でなかったので仕事を辞めることにしました。,【正解のポイント】生活するには足りない。adequate（十分な、適切な）。sufficientと同義。準1級合格には必須の語彙です。【紛らわしい選択肢】intensive（集中的な）、ridiculous（ばかげた）。,,,,,,,,,,,,,,,,
150,2019-3,"Until last year, the school chess tournament was held ( )... Now, the tournament is held twice a year.",annually,innocently,visually,objectively,副詞・毎年,昨年まで、学校のチェス大会は年に一度開催されていました。,【正解のポイント】頻度。annually（年に一度）。yearlyと同じ。【紛らわしい選択肢】objectively（客観的に）。,,,,,,,,,,,,,,,,
151,2019-3,"Many different kinds of ( ), from motorbikes to huge trucks, took part in the New Year’s parade.",vehicles,liquids,barriers,thermometers,名詞・乗り物,バイクから巨大なトラックまで、様々な種類の乗り物がパレードに参加しました。,【正解のポイント】移動手段の総称。vehicles（乗り物、車両）。【紛らわしい選択肢】barriers（障壁）、thermometers（温度計）。,,,,,,,,,,,,,,,,
152,2019-3,The actor got so many messages from fans that he could not ( ) to all of them himself.,respond,confess,drag,frown,動詞・返信する,俳優はファンからあまりに多くのメッセージをもらったので、自分ですべてに返信することができませんでした。,【正解のポイント】メッセージへの反応。respond (to)（～に返答する、反応する）。replyより堅い語。【紛らわしい選択肢】confess（自白する）、frown（眉をひそめる）。,,,,,,,,,,,,,,,,
153,2019-3,Beethoven was a famous composer and musician who created several ( ).,masterpieces,debts,proposals,traps,名詞・傑作,ベートーベンはいくつかの傑作を生み出した有名な作曲家でした。,【正解のポイント】最高の音楽作品。masterpieces（傑作、名作）。【紛らわしい選択肢】debts（借金）、proposals（提案）。,,,,,,,,,,,,,,,,
154,2019-3,"Richard Wilson is now a successful businessman, but he grew up in ( ).",poverty,accuracy,quantity,curiosity,名詞・貧困,リチャード・ウィルソンは今では成功したビジネスマンですが、貧困の中で育ちました。,【正解のポイント】お金がない状態。poverty（貧困）。poorの名詞形。【紛らわしい選択肢】accuracy（正確さ）、curiosity（好奇心）。,,,,,,,,,,,,,,,,
155,2019-3,"During the movie, she was so scared that she began to ( ).",tremble,commit,migrate,insist,動詞・震える,映画の間、彼女はとても怖くて震え始めました。,【正解のポイント】恐怖で体が揺れる。tremble（震える）。【紛らわしい選択肢】commit（（罪を）犯す・委ねる）、migrate（移住する）。,,,,,,,,,,,,,,,,
156,2019-3,"Ben could not ( ) the noise anymore, so he decided to move to another apartment.",tolerate,stimulate,disturb,inform,動詞・許容する,ベンはもう騒音に我慢できなかったので、別のアパートに引っ越すことにしました。,"【正解のポイント】嫌なことに耐える。tolerate（許容する、我慢する）。put up with, stand, bearの言い換えとして準1級最頻出語の一つです。【紛らわしい選択肢】stimulate（刺激する）。",,,,,,,,,,,,,,,,
157,2019-3,Sally had ( ) that she would have to pay about $80 for electricity in July.,estimated,accompanied,constructed,stretched,動詞・見積もる,サリーは7月の電気代が約80ドルになると見積もっていました。,【正解のポイント】金額を予測する。estimated（見積もった、推定した）。【紛らわしい選択肢】constructed（建設した）。,,,,,,,,,,,,,,,,
158,2019-3,"He has a small ( ), so he will travel by bicycle and stay in cheap hotels.",budget,scar,flame,label,名詞・予算,彼は予算が少ないので、自転車で旅行し、安いホテルに泊まるつもりです。,【正解のポイント】使えるお金の計画。budget（予算）。on a budget（低予算で）も頻出。【紛らわしい選択肢】scar（傷跡）。,,,,,,,,,,,,,,,,
159,2019-3,"The girl begged her parents to let her go to the pop concert, but it was in ( ).",vain,trouble,love,mind,熟語・無駄に,少女はポップコンサートに行かせてくれるよう両親に懇願しましたが、無駄でした。,【正解のポイント】in vain（無駄に）。努力が実らないこと。【紛らわしい選択肢】in trouble（困って）。,,,,,,,,,,,,,,,,
160,2019-3,The reporter spent all day sitting in the courtroom ( ) what everyone said in his notebook.,taking down,giving in,booking into,coming across,句動詞・書き留める,記者は一日中法廷に座り、皆が言ったことをノートに書き留めていました。,【正解のポイント】記録する。taking down（書き留める）。write downと同じ。【紛らわしい選択肢】giving in（屈服する）、coming across（偶然出会う）。,,,,,,,,,,,,,,,,
161,2019-3,"No, I have to go ( ) of Singapore.",by way,in charge,for fear,on behalf,熟語・経由で,いいえ、シンガポール経由で行かなければなりません。,【正解のポイント】by way of（～経由で）。viaと同じ。【紛らわしい選択肢】in charge of（～を担当して）、on behalf of（～を代表して）。,,,,,,,,,,,,,,,,
162,2019-3,"( ) of cost, it was very expensive, but people think it was necessary.",In terms,In place,By means,On top,熟語・～の点では,費用の点では非常に高額でしたが、人々はそれが必要だったと考えています。,【正解のポイント】In terms of（～の点では、～に関しては）。準1級・1級の長文・リスニング・英作文すべてで使える万能熟語です。【紛らわしい選択肢】By means of（～という手段で）。,,,,,,,,,,,,,,,,
163,2019-3,"When you get to Redville, how will you ( ) to the hotel from the bus station?",find your way,change your mind,keep your word,raise your hand,熟語・たどり着く,レッドビルに着いたら、バス停からホテルまでどうやってたどり着く（道を見つける）のですか？,【正解のポイント】道順を知る。find one's way（たどり着く、道を見つける）。【紛らわしい選択肢】change one's mind（気が変わる）。,,,,,,,,,,,,,,,,
164,2019-3,He did poorly in his classes ( ) effort.,for lack of,in time for,in danger of,of service to,熟語・～不足で,彼は努力不足のために、授業の成績が悪かったです。,【正解のポイント】for lack of（～が不足して）。lack（欠乏）は名詞・動詞両方で重要。【紛らわしい選択肢】in danger of（～の危険があって）。,,,,,,,,,,,,,,,,
165,2019-3,"Oh, I’ve been ( ) at a gym three times a week.",working out,keeping up,standing up,giving out,句動詞・運動する,ああ、週に3回ジムで運動しているんだ。,【正解のポイント】ジムで鍛えること。working out（運動する、筋トレする）。solve（解決する）の意味もあります。【紛らわしい選択肢】giving out（配る）。,,,,,,,,,,,,,,,,
166,2019-3,The art teacher decorated the walls of her classroom with pictures ( ) by her students.,drawn,drawing,draw,have drawn,文法・過去分詞,美術の先生は、教室の壁を生徒によって描かれた絵で飾りました。,【正解のポイント】pictures (which were) drawn by... という受動の関係。drawn（描かれた）。【紛らわしい選択肢】drawing（描いている）だと「絵が何かを描いている」ことになり不自然。,,,,,,,,,,,,,,,,
167,2019-3,"By the time he graduates from high school this spring, he ( ) playing it for 15 years.",will have been,has been,will be,was,文法・未来完了進行形,この春に高校を卒業する頃には、彼は15年間演奏し続けていることになります。,【正解のポイント】未来のある時点までの継続。will have been ～ing（未来完了進行形）。By the timeが未来完了の目印。【紛らわしい選択肢】has been（現在完了）は現在までの継続。,,,,,,,,,,,,,,,,
168,2019-3,Many people think that he looks good ( ) he wears.,no matter what,no telling where,anything but,in which case,文法・譲歩,多くの人は、彼が何を着ていても似合うと思っています。,【正解のポイント】no matter what（たとえ何が～であろうとも）。whatever he wearsと言い換え可能。【紛らわしい選択肢】anything but（決して～ない）。,,,,,,,,,,,,,,,,
169,2019-3,One aspect they have been studying is the ability of brains to change over time. ... recent research suggests that adult brains are more ( ) than originally thought.,flexible,mysterious,original,appropriate,長文語彙・柔軟な,最近の研究は、大人の脳は当初考えられていたよりも柔軟であることを示唆しています。,【正解のポイント】長文（Adult Brains and Reading）より。変わることができる＝flexible（柔軟な）。ビジネスでも使われる重要語。【紛らわしい選択肢】mysterious（神秘的な）。,,,,,,,,,,,,,,,,
170,2019-3,Scientists hope that this research can be used to support people with dyslexia ...,dyslexia,symptom,technique,surface,長文語彙・失読症,科学者たちは、この研究が失読症（ディスレクシア）の人々を支援するために使われることを期待しています。,【正解のポイント】長文中の重要キーワード。dyslexia（読字障害）。医学・教育系の長文でたまに出る専門用語です。,,,,,,,,,,,,,,,,
171,2019-3,"Amsterdam currently attracts about 18.5 million visitors a year... City officials are concerned that the huge number of tourists is negatively affecting the lives of the 850,000 ( ) residents.",permanent,limited,historic,popular,長文語彙・永住の,アムステルダム市当局は、膨大な数の観光客が85万人の永住住民の生活に悪影響を与えていることを懸念しています。,【正解のポイント】長文（The Cost of Tourism）より。観光客（一時的）と対比される「ずっと住んでいる人」。permanent（永続的な、常設の）。temporaryの対義語。,,,,,,,,,,,,,,,,
172,2020-1,"Kathy found several spelling ( ), so Don fixed them.",errors,symbols,palaces,leaves,名詞・誤り,キャシーはいくつかのスペルミス（誤り）を見つけたので、ドンはそれらを直しました。,【正解のポイント】スペルの間違い。errors（誤り、ミス）。mistakesと同義。【紛らわしい選択肢】symbols（象徴・記号）は長文で頻出。,,,,,,,,,,,,,,,,
173,2020-1,Roger feels great ( ) for his cat. He spends a lot of time taking care of it.,affection,religion,wisdom,justice,名詞・愛情,ロジャーは飼い猫に大きな愛情を感じています。彼は世話をするのに多くの時間を費やしています。,【正解のポイント】世話をする＝愛着がある。affection（愛情）。affect（影響する）の名詞形ですが意味が異なります。【紛らわしい選択肢】wisdom（知恵）、justice（正義）。,,,,,,,,,,,,,,,,
174,2020-1,"At the audition for the dance show, the students first had to perform ( ).",individually,financially,legally,magnetically,副詞・個別に,ダンスショーのオーディションで、生徒たちはまず個別に演技しなければなりませんでした。,【正解のポイント】グループ（together）との対比。individually（個別に、一人ずつ）。【紛らわしい選択肢】financially（財政的に）、legally（法的に）。ly副詞の識別は必須。,,,,,,,,,,,,,,,,
175,2020-1,"When the flight was delayed, the airline gave each passenger $20 to ( ) them for the time that they lost.",compensate,inherit,expand,destroy,動詞・補償する,フライトが遅れたとき、航空会社は失われた時間を補償するために各乗客に20ドルを渡しました。,【正解のポイント】損失を埋め合わせる。compensate（補償する）。make up forの堅い語で、準1級への最重要ブリッジ語彙です。【紛らわしい選択肢】inherit（相続する）。,,,,,,,,,,,,,,,,
176,2020-1,Susie’s ( ) was to make a poster.,assignment,generation,extinction,compliment,名詞・課題,スージーの課題（割り当てられた仕事）はポスターを作ることでした。,【正解のポイント】生徒に与えられるタスク。assignment（課題、宿題）。assign（割り当てる）の名詞形。【紛らわしい選択肢】extinction（絶滅）、compliment（褒め言葉）。,,,,,,,,,,,,,,,,
177,2020-1,Hiroshi often reads books about how people lived in ancient ( ).,civilizations,proportions,appointments,supplements,名詞・文明,ヒロシは古代文明の人々がどのように暮らしていたかについての本をよく読みます。,【正解のポイント】社会の発展（societies developed）。civilizations（文明）。【紛らわしい選択肢】supplements（サプリメント、補足）。,,,,,,,,,,,,,,,,
178,2020-1,Mr. Brown reminded everyone that he wanted ( ) silence during the test.,absolute,dazzling,generous,romantic,形容詞・絶対的な,ブラウン先生は、テスト中は完全な（絶対的な）沈黙を望んでいると皆に思い出させました。,【正解のポイント】完全な静けさ。absolute（絶対的な、完全な）。absolutely（絶対に）の形容詞形。【紛らわしい選択肢】generous（気前の良い）。,,,,,,,,,,,,,,,,
179,2020-1,The staff members at EZ Bank were ( ) because their computers were so slow.,struggling,forecasting,arresting,functioning,動詞・苦闘する,EZ銀行のスタッフはコンピュータが非常に遅かったため、苦労していました。,【正解のポイント】うまくいかずにあがく様子。struggling（もがく、取り組む）。struggle to do（～しようと奮闘する）は頻出。【紛らわしい選択肢】forecasting（予報する）。,,,,,,,,,,,,,,,,
180,2020-1,"While Ryan was making pasta sauce, he ( ) it with a spoon.",stirred,amused,resisted,proved,動詞・かき混ぜる,ライアンはパスタソースを作っている間、スプーンでそれをかき混ぜました。,【正解のポイント】料理で混ぜる動作。stirred（かき混ぜた）。【紛らわしい選択肢】resisted（抵抗した）、proved（証明した）。,,,,,,,,,,,,,,,,
181,2020-1,Maybe she is ( ) that she wants to go on a date with you.,implying,sacrificing,encountering,forbidding,動詞・ほのめかす,たぶん彼女はあなたとデートに行きたいとほのめかしているんだよ。,【正解のポイント】直接言わずに匂わせる。implying（ほのめかす、暗示する）。準1級・1級の長文読解で著者の意図を問う際に必須の単語。【紛らわしい選択肢】sacrificing（犠牲にする）。,,,,,,,,,,,,,,,,
182,2020-1,Nick’s boss said she would think ( ) what he had said and talk to him again later.,over,up,with,around,句動詞・熟考する,ニックの上司は、彼が言ったことをよく考えて、後でまた話すと言いました。,【正解のポイント】think over（～をじっくり考える）。considerと同義。,,,,,,,,,,,,,,,,
183,2020-1,That machine is out of ( ). I can sell you a ticket here.,order,shape,sight,business,熟語・故障中,その機械は故障中です。ここでチケットを販売できますよ。,【正解のポイント】out of order（故障して）。機械が動かない時の定番表現。【紛らわしい選択肢】out of shape（体調が悪い/形が崩れた）。,,,,,,,,,,,,,,,,
184,2020-1,Haruka did not make much money... but her salary increased ( ).,by degrees,by accident,at heart,at large,熟語・徐々に,ハルカの給料は徐々に増えました。,【正解のポイント】少しずつ。by degrees（徐々に）。graduallyの熟語表現。【紛らわしい選択肢】by accident（偶然に）、at large（逃走中で/一般の）。,,,,,,,,,,,,,,,,
185,2020-1,"Frank was ( ) the robbery by the police. However, he knew he had not done it.",charged with,kept off,admired for,warned of,熟語・告発される,フランクは警察に強盗の罪で告発されました（疑いをかけられました）。,【正解のポイント】be charged with（～の罪で告発される/～の責任を負う）。【紛らわしい選択肢】admired for（～で賞賛される）。,,,,,,,,,,,,,,,,
186,2020-1,She needs to be more ( ) her ability.,confident in,engaged in,specific to,appropriate to,熟語・自信がある,彼女は自分の能力にもっと自信を持つ必要があります。,【正解のポイント】be confident in（～に自信がある）。confident aboutとも言う。【紛らわしい選択肢】engaged in（～に従事している）。,,,,,,,,,,,,,,,,
187,2020-1,Alexandra’s boss was impressed that she could answer all of his questions ( ).,on the spot,in vain,by comparison,at the peak,熟語・その場で,アレクサンドラが全ての質問にその場ですぐに答えられたことに、上司は感心しました。,【正解のポイント】即座に。on the spot（その場で、即座に）。【紛らわしい選択肢】in vain（無駄に）。,,,,,,,,,,,,,,,,
188,2020-1,"Now, though, the city has a program to make ( ) of the garbage by burning it to create electricity.",use,sense,sure,progress,熟語・利用する,今では、市はゴミを燃やして電気を作ることで、ゴミを利用するプログラムを持っています。,【正解のポイント】make use of（～を利用する）。utilizeの熟語版。【紛らわしい選択肢】make sense（意味をなす）、make sure（確認する）。,,,,,,,,,,,,,,,,
189,2020-1,Would you mind my ( ) on the lights? - Not at all.,turning,be turning,be turned,turned,文法・動名詞,明かりをつけても構いませんか？ - 全然構いませんよ。,【正解のポイント】Would you mind one's ～ing（人が～するのを気にするか＝～してもいいか）。意味上の主語my＋動名詞turning。,,,,,,,,,,,,,,,,
190,2020-1,I feel as if I ( ) in a dream.,were,be,being,has been,文法・仮定法,まるで夢の中にいるような気分です。,【正解のポイント】as if + 仮定法過去（まるで～であるかのように）。現在の事実と異なるためbe動詞はwereになります。,,,,,,,,,,,,,,,,
191,2020-1,Many people treat her as a person ( ) importance.,of,in,for,on,文法・of+抽象名詞,多くの人が彼女を重要人物として扱っています。,【正解のポイント】of + 抽象名詞 = 形容詞。a person of importance = an important person。,,,,,,,,,,,,,,,,
192,2020-1,"With no homes, it is not surprising that these people often do not have ( ).",the chance to wash themselves,the time to pay their rent,a place to change their clothes,a way to access any services,長文語彙・機会,家がないので、これらの人々が体を洗う機会がないことは驚くことではありません。,【正解のポイント】長文（Lava Mae）の空所補充。ホームレス支援のシャワーバスの話。文脈から「洗う機会」を選択。,,,,,,,,,,,,,,,,
193,2020-2,You must understand the basic ( ) of science in order to know why water becomes steam.,principles,substitutes,decades,critics,名詞・原理,水が沸騰するとなぜ蒸気になるかを知るには、科学の基本的な原理を理解しなければなりません。,【正解のポイント】根本的な法則。principles（原理、原則）。principal（校長/主要な）との混同に注意。準1級必須語。【紛らわしい選択肢】substitutes（代用品）、critics（批評家）。,,,,,,,,,,,,,,,,
194,2020-2,Keith was the only person to wear jeans to the formal party... He felt ( ).,awkward,intelligent,steady,pleasant,形容詞・気まずい,キースはフォーマルなパーティーにジーンズを履いていった唯一の人でした...彼は気まずく感じました。,【正解のポイント】場違いで居心地が悪い。awkward（気まずい、不器用な）。【紛らわしい選択肢】steady（安定した）。,,,,,,,,,,,,,,,,
195,2020-2,"Nate’s parents could not pay for his college education, so he had to get a student ( ).",loan,tube,unit,pile,名詞・ローン,ネイトの両親は大学の学費を払えなかったので、彼は学生ローンを組まなければなりませんでした。,【正解のポイント】借りるお金。loan（貸付金、ローン）。【紛らわしい選択肢】pile（積み重ね）。,,,,,,,,,,,,,,,,
196,2020-2,"For her final project, she is ( ) a French novel into English.",translating,measuring,arresting,greeting,動詞・翻訳する,最終課題のために、彼女はフランス語の小説を英語に翻訳しています。,【正解のポイント】言語を変える。translating（翻訳する）。translate A into B。【紛らわしい選択肢】measuring（測定する）。,,,,,,,,,,,,,,,,
197,2020-2,"Jason was ( ) not feeling well today. He kept coughing, and he looked very tired.",obviously,luckily,commonly,separately,副詞・明らかに,ジェイソンは今日、明らかに具合が悪そうでした。咳をし続け、とても疲れて見えました。,【正解のポイント】見てわかる様子。obviously（明らかに）。【紛らわしい選択肢】commonly（一般的に）、separately（別々に）。,,,,,,,,,,,,,,,,
198,2020-2,The secret is to mix seashells in the ( ) in your garden.,soil,wound,trap,index,名詞・土,秘訣は、庭の土に貝殻を混ぜることです。,【正解のポイント】野菜を育てる場所。soil（土壌）。earthより園芸・農業的なニュアンス。【紛らわしい選択肢】wound（傷）、trap（罠）。,,,,,,,,,,,,,,,,
199,2020-2,Just someone who was doing a ( ). She asked me some questions.,survey,label,figure,purpose,名詞・調査,ただ調査（アンケート）をしていた人だよ。いくつか質問されたんだ。,【正解のポイント】質問をして情報を集めること。survey（調査、概観）。【紛らわしい選択肢】figure（数字、姿）。,,,,,,,,,,,,,,,,
200,2020-2,"Wayne did not want to go to the party, but his friends ( ) that he should join them.",insisted,proved,revealed,reported,動詞・強く主張する,ウェインはパーティーに行きたくありませんでしたが、友人は彼が参加すべきだと強く主張しました。,【正解のポイント】譲らない姿勢。insisted（主張した、言い張った）。insist on ～ingの形も重要。【紛らわしい選択肢】revealed（明らかにした）。,,,,,,,,,,,,,,,,
201,2020-2,"Now, however, many people ( ) when they are 65 or older.",retire,spoil,broadcast,insert,動詞・退職する,しかし今では、多くの人が65歳以上で退職します。,【正解のポイント】仕事を辞める。retire（退職する）。【紛らわしい選択肢】spoil（台無しにする/甘やかす）は重要語。,,,,,,,,,,,,,,,,
202,2020-2,Paul did not have time to send the document... so he ( ) it to an e­mail.,attached,achieved,attended,assumed,動詞・添付する,ポールは書類を郵送する時間がなかったので、メールに添付しました。,【正解のポイント】メールにファイルを付ける。attached（添付した、くっつけた）。【紛らわしい選択肢】assumed（想定した）は準1級頻出。,,,,,,,,,,,,,,,,
203,2020-2,The match is ( ) over. There is still a chance for Isabel to win.,by no means,by degrees,in no time,in advance,熟語・決して～ない,試合は決して終わっていません。イザベルが勝つチャンスはまだあります。,【正解のポイント】否定の強調。by no means（決して～ない）。not at allの堅い表現。【紛らわしい選択肢】in no time（すぐに）。,,,,,,,,,,,,,,,,
